년도,시군명,전체온실가스배출량,대상업체및사업장통계,통계업종
2018,수원시,12085212,9,"식료품 제조업, 음식료품, 비철금속, 석유화학, 자동차, 전기전자, 제지, 폐기물"
2018,시흥시,1423864,17,"교통(여객), 음식료품, 기계, 반도체, 반도체.디스플레이.전기전자, 발전 · 에너지, 비철금속, 산업단지, 석유화학, 섬유, 유리, 유리 · 요업, 자동차, 전기전자, 제지, 철강, 폐기물"
2018,안산시,6350842,42,"전기전자, 철강"
2018,안성시,116403,2,"전기전자, 집단에너지, 폐기물, 하수, 폐수 및 분뇨 처리업"
2018,안양시,2394670,5,"집단에너지, 폐기물"
2018,양주시,534041,3,"교통(화물), 음료제조업"
2018,여주시,50581,2,"석유화학, 제지, 집단에너지, 하수처리업"
2018,오산시,1351391,4,"교통(여객), 디스플레이, 석유화학, 전기전자, 제지, 폐기물"
2018,용인시,6473669,8,"교통(여객), 폐기물"
2018,의정부시,88388,2,"반도체, 유리, 자동차, 폐기물"
2018,이천시,4488020,4,"교통(여객), 반도체, 발전에너지, 유리, 통신, 폐기물"
2018,파주시,4823291,8,"식료품 제조업, 음식료품, 기계, 반도체.디스플레이.전기전자, 비철금속, 석유화학, 섬유, 요업, 유리, 자동차, 전기전자, 제지, 집단에너지, 폐기물"
2018,평택시,2917486,24,"발전 · 에너지, 발전에너지, 발전 · 에너지"
2018,포천시,2550629,2,"건물, 발전에너지, 하수처리업, 발전 · 에너지"
2018,하남시,1825488,4,"교통(여객), 반도체.디스플레이.전기전자, 석유화학, 자동차, 폐기물"
2018,화성시,891719,9,통계 업종
2017,고양시,247921,3,"석유화학, 섬유"
2017,과천시,698331,3,"교통(여객), 집단에너지, 폐기물"
2017,광명시,155757,3,"건물, 교통(여객), 기계"
2017,광주시,365878,4,폐기물
2017,구리시,81544,1,"반도체.디스플레이.전기전자, 섬유, 자동차, 제지, 폐기물"
2017,군포시,131412,5,교통(여객)
2017,김포시,79074,1,"교통(여객), 식료품 제조업, 지정외 폐기물처리업"
2017,남양주시,348648,3,"발전 · 에너지, 폐기물"
2017,동두천시,2107264,2,"교통(여객), 반도체, 폐기물"
2017,부천시,337034,3,"교통(여객), 교통(철도), 식료품 제조업, 기계, 비철금속, 석유화학, 전기전자, 조선, 집단에너지, 통신, 폐기물"
2017,성남시,8294836,15,"건물, 교통(여객), 반도체, 석유화학, 전기전자, 폐기물"
2017,수원시,12085212,9,"음식료품, 비철금속, 석유화학, 자동차, 전기전자, 제지, 폐기물"
2017,시흥시,1423864,16,"교통(여객), 음식료품, 기계, 반도체, 반도체.디스플레이.전기전자, 발전 · 에너지, 비철금속, 산업단지, 석유화학, 섬유, 유리, 유리 · 요업, 자동차, 전기전자, 제지, 집단에너지, 철강, 폐기물"
2017,안산시,6350842,42,"비철금속, 전기전자, 철강"
2017,안성시,116403,3,"교통(여객), 음식료품, 기계, 비철금속, 석유화학, 유리, 집단에너지, 폐기물, 하수, 폐수 및 분뇨 처리업"
2017,안양시,2394670,13,"비철금속, 섬유, 집단에너지, 폐기물"
2017,양주시,534041,5,"교통(화물), 음료제조업"
2017,여주시,50581,2,"석유화학, 제지, 집단에너지, 하수처리업"
2017,오산시,1351391,4,"교통(여객), 디스플레이, 석유화학, 전기전자, 제지, 폐기물"
2017,용인시,6473669,8,폐기물
2017,의정부시,88388,1,"반도체, 유리, 자동차, 폐기물"
2017,이천시,4488020,4,"반도체, 발전에너지, 유리, 통신, 폐기물"
2017,파주시,4823291,7,"목재, 음식료품, 기계, 반도체.디스플레이.전기전자, 비철금속, 석유화학, 섬유, 요업, 유리, 자동차, 전기전자, 제지, 집단에너지, 폐기물"
2017,평택시,2917486,25,발전에너지
2017,포천시,2550629,2,"발전 · 에너지, 하수처리업"
2017,하남시,1825488,2,"교통(여객), 반도체.디스플레이.전기전자, 석유화학, 자동차, 폐기물"
2017,화성시,891719,9,통계 업종
2016,고양시,247921,2,"석유화학, 섬유"
2016,과천시,698331,3,"집단에너지, 폐기물"
2016,광명시,155757,2,"교통(여객), 건물, 기계"
2016,광주시,365878,4,폐기물
2016,구리시,81544,1,"제지, 폐기물, 자동차, 반도체.디스플레이.전기전자, 섬유"
2016,군포시,131412,5,
2016,김포시,79074,0,음식료품
2016,남양주시,348648,1,"발전에너지, 폐기물"
2016,동두천시,2107264,2,"폐기물, 교통(여객)"
2016,부천시,337034,2,"비철금속, 전기전자, 조선, 집단에너지, 철강, 통신, 폐기물, 교통(여객), 교통(화물), 음식료품"
2016,성남시,8294836,14,"건물, 교통(여객), 반도체, 석유화학, 전기전자, 폐기물"
2016,수원시,12085212,7,"비철금속, 석유화학, 음식료품, 자동차, 전기전자, 제지, 폐기물"
2016,시흥시,1423864,16,"교통(여객), 기계, 반도체, 반도체.디스플레이.전기전자, 발전에너지, 비철금속, 산업단지, 석유화학, 섬유, 유리 · 요업, 음식료품, 자동차, 전기전자, 제지, 집단에너지, 철강, 폐기물"
2016,안산시,6350842,39,철강
2016,안성시,116403,1,"집단에너지, 폐기물, 교통(여객), 석유화학"
2016,안양시,2394670,5,"집단에너지, 폐기물"
2016,양주시,534041,3,"교통(화물), 음식료품"
2016,여주시,50581,2,"제지, 집단에너지, 석유화학, 폐기물"
2016,오산시,1351391,4,"폐기물, 교통(여객), 제지, 석유화학"
2016,용인시,6473669,4,폐기물
2016,의정부시,88388,1,"폐기물, 자동차"
2016,이천시,4488020,2,"폐기물, 유리, 통신"
2016,파주시,4823291,3,"제지, 폐기물, 음식료품, 자동차, 반도체.디스플레이.전기전자, 석유화학, 기계, 비철금속, 집단에너지, 섬유"
2016,평택시,2917486,16,발전에너지
2016,포천시,2550629,1,집단에너지
2016,하남시,1825488,1,"교통(여객), 반도체.디스플레이.전기전자, 석유화학, 자동차, 폐기물"
2016,화성시,891719,7,통계 업종
2015,고양시,247921,1,"석유화학, 섬유"
2015,과천시,698331,3,"집단에너지, 폐기물"
2015,광명시,155757,2,"건물, 교통(여객)"
2015,광주시,365878,3,폐기물
2015,구리시,81544,1,"제지, 폐기물, 반도체.디스플레이.전기전자, 섬유, 자동차"
2015,군포시,131412,5,
2015,김포시,79074,0,음식료품
2015,남양주시,348648,1,"발전에너지, 폐기물"
2015,동두천시,2107264,2,폐기물
2015,부천시,337034,1,"교통(화물), 비철금속, 음식료품, 전기전자, 조선, 집단에너지, 철강, 통신, 폐기물"
2015,성남시,8294836,13,"건물, 교통(여객), 반도체, 석유화학, 전기전자, 폐기물"
